,Actual,Susceptible,Infectious,Recovered,Date
2020-06-20,,3857.3699951302,0.0012635805782018822,6142.628741289223,2020-06-20
2020-06-21,,3857.369652851801,0.0010341732185516093,6142.629312974982,2020-06-21
2020-06-22,,3857.369371342478,0.0008454954651273112,6142.629783162058,2020-06-22
2020-06-23,,3857.3691414881887,0.0006914387582126612,6142.6301670730545,2020-06-23
2020-06-24,,3857.368954476879,0.0005660969521123273,6142.6304794261705,2020-06-24
2020-06-25,,3857.3688020473287,0.0004639330893087666,6142.6307340195835,2020-06-25
2020-06-26,,3857.36867656414,0.00037982966118837216,6142.6309436062,2020-06-26
2020-06-27,,3857.368573070425,0.00031046438146239806,6142.631116465195,2020-06-27
2020-06-28,,3857.368488484951,0.00025377209330200727,6142.631257742957,2020-06-28
2020-06-29,,3857.3684197481516,0.00020770216512239954,6142.631372549685,2020-06-29
2020-06-30,,3857.3683639219894,0.00017028541797740952,6142.631465792595,2020-06-30
2020-07-01,,3857.3683181899546,0.0001396341255595065,6142.631542175922,2020-07-01
2020-07-02,,3857.3682801938835,0.00011416776102362687,6142.6316056383575,2020-07-02
2020-07-03,,3857.368248922811,9.320873724628922e-05,6142.631657868455,2020-07-03
2020-07-04,,3857.3682234704124,7.61496029253635e-05,6142.631700379987,2020-07-04
2020-07-05,,3857.368202910724,6.236974229111559e-05,6142.631734719535,2020-07-05
2020-07-06,,3857.368186307005,5.1241317919002586e-05,6142.631762451679,2020-07-06
2020-07-07,,3857.368172711741,4.212927072967269e-05,6142.63178515899,2020-07-07
2020-07-08,,3857.3681612653427,3.4457472959659405e-05,6142.631804277186,2020-07-08
2020-07-09,,3857.368151724549,2.8062881479381027e-05,6142.631820212571,2020-07-09
2020-07-10,,3857.368143928076,2.2837397956731176e-05,6142.631833234528,2020-07-10
2020-07-11,,3857.3681376681934,1.8641793789297148e-05,6142.631843690015,2020-07-11
2020-07-12,,3857.368132706038,1.5315974574718125e-05,6142.631851977989,2020-07-12
2020-07-13,,3857.3681287716167,1.267898011068515e-05,6142.6318585494055,2020-07-13
2020-07-14,,3857.368125563802,1.0528984394941153e-05,6142.631863907215,2020-07-14
2020-07-15,,3857.3681227640354,8.652477392550563e-06,6142.631868583489,2020-07-15
2020-07-16,,3857.368120316453,7.012017473697526e-06,6142.631872671532,2020-07-16
2020-07-17,,3857.368118266736,5.6382215072056484e-06,6142.631876095044,2020-07-17
