,Actual,Susceptible,Infectious,Recovered,Date
2020-06-20,,372.97884900490806,2.930860648729703,624.090290346362,2020-06-20
2020-06-21,,372.64843840564106,2.6987218130936657,624.6528397812651,2020-06-21
2020-06-22,,372.3450907501873,2.4850484471734005,625.169860802639,2020-06-22
2020-06-23,,372.0665345050494,2.2883849742659192,625.6450805206845,2020-06-23
2020-06-24,,371.8105744918662,2.1073226001202587,626.0821029080133,2020-06-24
2020-06-25,,371.57509188741295,1.940499312937479,626.4844087996494,2020-06-25
2020-06-26,,371.35804422360115,1.7865998833706649,626.855355893028,2020-06-26
2020-06-27,,371.1575442748578,1.6443920888162669,627.1980636363257,2020-06-27
2020-06-28,,370.9726090728298,1.513108771586282,627.5142821555837,2020-06-28
2020-06-29,,370.8023160521848,1.3920866514386927,627.8055972963763,2020-06-29
2020-06-30,,370.6456807452166,1.2806463444272194,628.0736729103559,2020-06-30
2020-07-01,,370.50174524224286,1.1781269080721157,628.3201278496848,2020-07-01
2020-07-02,,370.36957819160455,1.0838858413601677,628.546535967035,2020-07-02
2020-07-03,,370.2482747996663,0.9972990847446946,628.7544261155888,2020-07-03
2020-07-04,,370.13695683081625,0.9177610201455475,628.945282149038,2020-07-04
2020-07-05,,370.0347726074661,0.8446844709491108,629.1205429215846,2020-07-05
2020-07-06,,369.9408970100511,0.7775007020083008,629.2816022879404,2020-07-06
2020-07-07,,369.8545314770302,0.7156594196425672,629.429809103327,2020-07-07
2020-07-08,,369.77490400488574,0.6586287716378922,629.5664672234761,2020-07-08
2020-07-09,,369.7013298281025,0.6059341687615315,629.6927360031358,2020-07-09
2020-07-10,,369.6335931596904,0.5574034215357424,629.8090034187737,2020-07-10
2020-07-11,,369.5712941901584,0.5127497509238995,629.9159560589175,2020-07-11
